Date,IVV US Equity  (L2),IEUR US Equity  (L1),MCHI US Equity  (R2),NAFTRAC MM Equity  (R1)
1/4/2018,273.6,51.3,70.11,49.71
1/3/2018,272.42,50.74,69.68,49.72
1/2/2018,270.85,50.57,69.13,49.95
12/29/2017,268.85,50.17,66.54,49.25
12/28/2017,269.79,50.17,66.4,48.79
12/27/2017,269.29,50.05,66.17,48.6
12/26/2017,269.12,49.9,66.44,48.5
12/22/2017,269.46,49.89,66.78,48.46
12/21/2017,269.53,49.83,66.29,48.52
12/20/2017,268.99,49.59,65.09,48.39
12/19/2017,269.13,49.82,65.12,48.45
12/18/2017,271.47,50.35,66.25,48.66
12/15/2017,269.79,49.67,65.61,48.11
12/14/2017,267.53,49.77,65.73,48.22
12/13/2017,268.57,50.04,66.59,48.27
12/12/2017,268.63,49.97,65.37,
12/11/2017,268.22,49.95,66.29,47.68
12/8/2017,267.3,49.89,65.505,47.58
12/7/2017,265.85,49.58,64.29,47
12/6/2017,265.05,49.52,63.9,46.98
12/5/2017,264.99,49.59,64.75,47.48
12/4/2017,265.98,49.74,65.04,47.17
12/1/2017,266.26,49.83,65.31,47.28
11/30/2017,266.89,50,66.24,47.1
11/29/2017,264.48,49.9,66.96,47.67
11/28/2017,264.65,50.07,68.67,47.25
11/27/2017,262.01,49.77,68.14,47.42
11/24/2017,262.09,50.1,69.45,48.07
11/23/2017,,,,48.2
11/22/2017,261.54,49.67,69.84,48.28
11/21/2017,261.73,49.48,69.96,48.26
11/20/2017,260.04,49.19,68.39,
11/17/2017,259.63,49.13,67.57,47.96
11/16/2017,260.34,49.26,67.54,47.82
11/15/2017,258.18,48.89,66.09,47.78
11/14/2017,259.58,49.13,66.56,47.98
11/13/2017,260.1,48.98,67.37,48.11
11/10/2017,259.81,49.24,67.39,48.12
11/9/2017,259.99,49.32,67.07,48.81
11/8/2017,260.94,49.66,67.2,48.87
11/7/2017,260.49,49.64,67.05,49.03
11/6/2017,260.62,50.04,66.81,49.01
11/3/2017,260.18,49.91,65.83,48.58
11/2/2017,259.37,50.03,65.85,
11/1/2017,259.23,49.88,65.75,48.32
10/31/2017,258.81,49.79,65.3,48.65
10/30/2017,258.52,49.7,64.67,48.84
10/27/2017,259.41,49.45,65.17,49.15
10/26/2017,257.35,49.5,64.32,48.93
10/25/2017,257.04,49.58,64.53,48.86
10/24/2017,258.25,49.62,64.84,50.12
10/23/2017,257.86,49.64,64.89,49.5
10/20/2017,258.85,49.8,65.52,49.94
10/19/2017,257.53,49.9,65.03,49.99
10/18/2017,257.43,50.04,66.19,49.9
10/17/2017,257.21,49.83,65.58,50.15
10/16/2017,257.05,50.03,66.15,49.67
10/13/2017,256.63,50.16,65.84,49.96
10/12/2017,256.34,50.15,65.38,49.92
10/11/2017,256.71,50.22,65.75,50.07
10/10/2017,256.34,50.06,66.01,49.91
10/9/2017,255.68,49.57,65.36,50.04
10/6/2017,256.11,49.6,65.31,50.27
10/5/2017,256.38,49.56,65.74,50.45
10/4/2017,254.9,49.64,64.86,50.5
10/3/2017,254.57,49.72,64.94,50.57
10/2/2017,253.97,49.57,63.42,50.43
9/29/2017,252.93,49.68,63.09,50.3
9/28/2017,252,49.28,62.2,50.1
9/27/2017,251.73,49.06,62.5,50.09
9/26/2017,250.75,48.99,62.02,50.37
9/25/2017,251.89,49.18,61.88,50.36
9/22/2017,252.37,49.52,63.83,50.31
9/21/2017,252.36,49.41,64.28,50.5
9/20/2017,253.1,49.42,64.27,50.4
9/19/2017,252.95,49.58,64.38,50.14
9/18/2017,252.71,49.35,64.26,50.22
9/15/2017,252.14,49.26,63.65,49.9
9/14/2017,251.82,49.21,63.1,50.07
9/13/2017,251.91,49.02,63.15,50.16
9/12/2017,251.8,49.38,63,50.44
9/11/2017,250.9,49.19,62.84,50.35
9/8/2017,248.19,48.78,61.54,50.08
9/7/2017,248.61,48.78,62.02,50.26
9/6/2017,248.61,48.34,61.6,50.49
9/5/2017,247.78,48.01,61.32,50.29
